P-P type	HMM profile ID	Protein representative ID	P-P score	P-P type score	Sequence score threshold	Neff value	geNomad hit	geNomad annotation	pident (geNomad)	evalue (geNomad)	bitscore (geNomad)	PHROGs hit	PHROGs Annotation	Protein category (PHROGs)	evalue (PHROGs)	cov_profile (PHROGs)	Rep/Par hit	evalue (Rep/Par)	cov_profile (Rep/Par)
pSLy3	pSLy3_pers_HHJ44_RS25515	HHJ44_RS25515	1	1	127.4	1	GENOMAD.195074.VP	NA	0.597	4.946e-13	63	phrog_1470	TciB-like inhibition of cell division or resistance to colicin	moron, auxiliary metabolic gene and host takeover	2e-23	0.944	NA	NA	NA
pSLy3	pSLy3_pers_HUV22_RS25445	HUV22_RS25445	0.984	0.247	508.4	1.2	GENOMAD.132619.VP	NA	0.501	8.553e-43	159	phrog_1280	Ig domain containing protein	other	2.7e-165	1	NA	NA	NA
pSLy3	pSLy3_pers_HUV22_RS25765	HUV22_RS25765	1	1	560.7	1	GENOMAD.224162.VP	NA	0.78	3.7e-125	397	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_HUV22_RS25770	HUV22_RS25770	1	0.855	1344.1	1.1	GENOMAD.176906.VP	rad50	0.167	1.195e-20	100	phrog_77	SbcC-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism	1.2e-167	0.659	NA	NA	NA
pSLy3	pSLy3_pers_HUV24_RS25205	HUV24_RS25205	1	0.423	301.4	1.1	GENOMAD.132229.VP	Recombination, repair and ssDNA binding protein UvsY	0.675	2.11e-55	190	phrog_231	UvsY-like recombination mediator	DNA, RNA and nucleotide metabolism	3.2e-7	0.838	NA	NA	NA
pSLy3	pSLy3_pers_HV010_RS23005	HV010_RS23005	1	0.902	3183.2	1.1	GENOMAD.178476.VP	NA	0.776	2.555e-229	758	phrog_1292	tail length tape measure protein	tail	0	0.999	NA	NA	NA
pSLy3	pSLy3_pers_HV010_RS23285	HV010_RS23285	1	0.705	827.2	1.1	GENOMAD.030736.VV	Thymidylate synthase	0.243	1.611e-8	59	phrog_160	thymidylate synthase	DNA, RNA and nucleotide metabolism	1.3e-96	1.09	NA	NA	NA
pSLy3	pSLy3_pers_HVX45_RS22360	HVX45_RS22360	0.983	0.241	603	1.1	GENOMAD.168265.VP	Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	0.344	9.211e-39	148	phrog_2635	tail protein	tail	1.1e-27	1.059	NA	NA	NA
pSLy3	pSLy3_pers_HVX45_RS22520	HVX45_RS22520	1	0.98	279.5	1.1	GENOMAD.221059.VP	NA	1	3.345e-82	266	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_HVZ69_RS23305	HVZ69_RS23305	1	0.584	617.1	1.1	GENOMAD.180474.VP	NA	0.931	1.404e-70	242	phrog_206	head scaffolding protein	head and packaging	2e-57	1.057	NA	NA	NA
pSLy3	pSLy3_pers_HVZ69_RS23320	HVZ69_RS23320	1	0.371	427.9	1.1	GENOMAD.195594.VP	Transposase	0.65	7.585e-92	299	phrog_867	DNA binding domain	DNA, RNA and nucleotide metabolism	9.999999999999998e-110	0.968	NA	NA	NA
pSLy3	pSLy3_pers_HXS77_RS22325	HXS77_RS22325	1	0.376	173.4	1	GENOMAD.192874.VP	NA	0.661	1.384e-27	106	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_HXS77_RS22380	HXS77_RS22380	1	0.38	1201.4	1	GENOMAD.168006.VP	NA	0.845	3.036e-134	438	phrog_145	portal protein	head and packaging	1.3e-143	1.016	NA	NA	NA
pSLy3	pSLy3_pers_HXS77_RS22640	HXS77_RS22640	1	1	443	1	GENOMAD.153294.VP	Holliday junction resolvasome RuvABC endonuclease subunit	0.652	1.514e-72	242	phrog_159	RuvC-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism	3.1e-60	0.561	NA	NA	NA
pSLy3	pSLy3_pers_HXS78_RS23330	HXS78_RS23330	1	0.982	191.5	1.1	GENOMAD.224680.VP	NA	0.794	3.12e-43	152	phrog_4268	transcriptional repressor	transcription regulation	1.6e-6	0.573	NA	NA	NA
pSLy3	pSLy3_pers_HXS78_RS23500	HXS78_RS23500	0.968	0.938	497.6	1	GENOMAD.218993.PV	cellulose synthase operon protein YhjQ	0.26	2.86e-5	47	NA	NA	NA	NA	NA	parA_small_nr_90_40_FAM1	2.8e-24	0.991
pSLy3	pSLy3_pers_HXS78_RS23505	HXS78_RS23505	0.968	0.897	256.8	1	GENOMAD.224628.VP	NA	0.947	5.66e-57	193	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_I6K17_RS27355	I6K17_RS27355	1	0.98	282.3	1.1	GENOMAD.219752.VP	NA	0.512	3.863e-35	131	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_IEC99_RS25660	IEC99_RS25660	1	1	456.3	1	GENOMAD.143103.VP	Phage-related protein, tail component	0.328	1.241e-22	98	phrog_32	tail assembly protein	tail	1.7e-66	0.956	NA	NA	NA
pSLy3	pSLy3_pers_IEC99_RS25820	IEC99_RS25820	1	0.983	355	1	GENOMAD.223369.VP	NA	0.907	5.356e-95	305	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_IMP05_RS24775	IMP05_RS24775	1	1	557.2	1.2	GENOMAD.224271.VP	NA	0.755	4.228e-129	409	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_IMP05_RS24950	IMP05_RS24950	1	0.395	997.2	1	GENOMAD.124421.VP	NA	0.314	1.026e-52	195	phrog_10250	terminase large subunit	head and packaging	2e-66	0.943	NA	NA	NA
pSLy3	pSLy3_pers_IMP05_RS25115	IMP05_RS25115	1	1	304.3	1.1	GENOMAD.224247.VP	Uncharacterized conserved protein, tellurite resistance protein B (TerB) family	0.874	4.572e-79	258	phrog_632	tellurite resistance	moron, auxiliary metabolic gene and host takeover	1.3e-65	0.986	NA	NA	NA
pSLy3	pSLy3_pers_IMQ02_RS22645	IMQ02_RS22645	1	0.967	558.3	1.1	GENOMAD.222634.VP	NA	0.821	2.437e-129	409	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_IMQ02_RS22815	IMQ02_RS22815	1	0.513	488.4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_IMQ03_RS22510	IMQ03_RS22510	1	0.979	633.1	1	GENOMAD.215557.VP	Predicted small secreted protein	0.852	5.14e-25	108	phrog_200	lipoprotein	other	8.2e-111	0.726	NA	NA	NA
pSLy3	pSLy3_pers_IMQ59_RS25580	IMQ59_RS25580	1	0.611	617.4	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_JLH08_RS24950	JLH08_RS24950	1	1	350.7	1.1	GENOMAD.225764.VP	NA	0.73	3.642e-76	251	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_JLZ97_RS24385	JLZ97_RS24385	1	0.98	325.9	1	GENOMAD.091934.VV	NA	0.723	1.074e-61	208	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_JMW69_RS24575	JMW69_RS24575	1	0.55	427.6	1.1	NA	NA	NA	NA	NA	phrog_111	DNA methyltransferase	other	4.4e-68	0.568	NA	NA	NA
pSLy3	pSLy3_pers_JMW69_RS24580	JMW69_RS24580	1	1	610.2	1	GENOMAD.222269.VP	NA	0.713	2.041e-125	399	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_JR901_RS24005	JR901_RS24005	1	0.722	170.6	1.2	GENOMAD.160598.VC	RNA ligase, T4 RnlA family	0.424	1.126e-10	58	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_JR901_RS24180	JR901_RS24180	1	0.387	266.8	1.1	GENOMAD.171056.VP	Bacteriophage minor capsid protein	0.775	3.04e-60	203	phrog_10344	minor head protein	head and packaging	6e-5	0.539	NA	NA	NA
pSLy3	pSLy3_pers_JR901_RS24185	JR901_RS24185	0.983	0.241	335	1.1	GENOMAD.195646.VP	phage protein, HK97 gp10 family	0.661	1.53e-65	220	phrog_927	tail completion or Neck1 protein	connector	9.2e-75	0.935	NA	NA	NA
pSLy3	pSLy3_pers_JR901_RS24410	JR901_RS24410	1	0.587	422.4	1.1	GENOMAD.217990.VC	RNase HI-related protein, contains viroplasmin and RNaseH domains	0.223	2.646e-5	47	phrog_531	Rnase H	DNA, RNA and nucleotide metabolism	2.1e-83	0.684	NA	NA	NA
pSLy3	pSLy3_pers_O3M_RS26960	O3M_RS26960	1	1	196.3	1	GENOMAD.224297.VP	NA	0.89	3.43e-48	166	NA	NA	NA	NA	NA	NA	NA	NA
pSLy3	pSLy3_pers_RG42_RS24765	RG42_RS24765	1	0.981	1618	1	GENOMAD.219220.VP	Cobalamin biosynthesis protein CobT; Cobalamin biosynthesis protein CobT VWA domain	0.164	1.58e-13	77	phrog_5298	cobalamin biosynthesis protein	moron, auxiliary metabolic gene and host takeover	7.6e-11	0.676	NA	NA	NA
pSLy3	pSLy3_pers_RG73_RS25925	RG73_RS25925	1	0.766	712.6	1.1	GENOMAD.106654.VP	gp32 DNA binding protein like	0.437	1.471e-69	241	phrog_1192	single strand DNA binding protein	DNA, RNA and nucleotide metabolism	1.1e-122	1.034	NA	NA	NA
pSLy3	pSLy3_pers_RG73_RS25940	RG73_RS25940	1	0.391	2673	1.1	GENOMAD.220689.VP	uracil-DNA glycosylase family domain	0.966	3.205e-81	299	phrog_405	DNA polymerase	DNA, RNA and nucleotide metabolism	0	0.978	NA	NA	NA
pSLy3	pSLy3_pers_RG73_RS26155	RG73_RS26155	0.983	0.253	525.5	1.1	GENOMAD.152072.VP	Phage minor tail protein L	0.553	1.734e-83	276	phrog_4199	minor tail protein	tail	5.5e-50	0.688	NA	NA	NA
